,Mass_RetentionTime,Stool 75,Stool 103,Stool 41,Stool 99,Stool 85,Stool 31,Stool 62,Stool 43,Stool 104,Stool 70,Stool 56,Stool 73,Stool 105,Stool 58,Stool 9,Stool 88,Stool 50,Stool 25,Stool 91,Stool 74,Stool 39,Stool 24,Stool 28,Stool 106,Stool 60,Stool 6,Stool 93,Stool 32,Stool 94,Stool 19,Stool 81,Stool 64,Stool 59,Stool 53,Stool 27,Stool 78,Stool 55,Stool 107,Stool 48,Stool 108,Stool 109,Stool 2,Stool 4,Stool 98,Stool 8,Stool 5,Stool 51,Stool 68,Stool 76,Stool 71,Stool 84,Stool 44,Stool 33,Stool 12,Stool 10,Stool 1,Stool 34,Stool 29,Stool 16,Stool 17,Stool 37,Stool 47,Stool 110,Stool 26,Stool 95,Stool 38,Stool 80,Stool 36,Stool 111,Stool 112,Stool 92,Stool 30,Stool 22,Stool 79,Stool 63,Stool 3,Stool 113,Stool 45,Stool 114,Stool 65,Stool 115,Stool 86,Stool 116,Stool 117,Stool 96,Stool 118,Stool 46,Stool 90,Stool 67,Stool 119,Stool 89,Stool 18,Stool 57,Stool 14,Stool 13,Stool 66,Stool 54,Stool 61,Stool 72,Stool 49,Stool 69,Stool 40,Stool 120,Stool 77,Stool 100,Stool 7,Stool 42,Stool 121,Stool 102,Stool 35,Stool 83,Stool 87,Stool 122,Stool 15,Stool 52,Stool 82,Stool 21,Stool 11,Stool 97,Stool 123,Stool 124,Stool 101,Stool 23,Stool 20
Metabolite-1,100.0_12.681576,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,285880,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2759770,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,143936,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Metabolite-2,100.0_5.4944367,1,1,1,1,51785,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,35147,16799,1,1,1,22599,1,47510,30109,1,1,71610,69055,1,1,1,1,1,1,1,23597,1,1,1,1,53384,1,1,1,1,105761,59894,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,44365,1,1,1,1,1,1,1,1,1,1,1,1,60750,1,1,1,1,1,1,1,34395,1,1,1,1,1,1,1,92519,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Metabolite-3,100.0_5.4964724,19691,1,1,11482,35158,25715,1,1,1,54443,1,27158,1,66694,4292,16253,39980,69553,21595,24980,1,14170,9156,42191,15696,23859,1,31737,30820,76988,46414,1,1,1,78471,93168,116383,78400,1,1,50395,36868,1,31633,1,32658,47424,52232,35147,59483,67672,1,73268,50827,26288,132560,15299,35337,51000,49376,37521,74444,1,7416,19837,21521,37379,1,92152,23755,26816,1,1,46849,26611,1,11267,37424,38277,45039,49708,1,55720,39119,15492,79375,102617,66577,44322,35028,21261,111781,64154,23189,90057,267859,91078,96401,106919,211136,129949,122778,71469,264224,97243,83727,99665,122980,130429,85621,177715,147685,239382,269636,193653,184814,238271,212467,211634,298047,235696,203467,205574,130005
Metabolite-4,100.0_6.3905,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30491,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Metabolite-5,100.0_7.1162,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18113,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Metabolite-6,100.0_7.7521,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Metabolite-7,100.0_9.3873,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,111188,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Metabolite-8,101.0_11.2559,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10470,1,1,1,1,1,1
Metabolite-9,101.0_7.752,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,23962,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Metabolite-10,102.0_13.28448,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,61992,1,1,1,1,1,1,1,1,1,1,1,23669,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
