feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Metabolite.1352	Cdiff_EIA	positive	-6.49671554025151	1.40060112930987	102	102	1.06460339685614e-05	0.0046629628782299
Metabolite.564	Cdiff_EIA	positive	6.55104849160524	1.73314928822406	102	102	0.00026701754279383	0.0584768418718487
Metabolite.667	Cdiff_EIA	positive	3.85198033506765	1.14272091059126	102	102	0.00106605387091251	0.0604962890979205
Metabolite.843	Cdiff_EIA	positive	5.05329254362285	1.52871057734573	102	102	0.00131675987913178	0.0604962890979205
Metabolite.860	Cdiff_EIA	positive	-4.90677072204418	1.51322523572159	102	102	0.00161014098708888	0.0604962890979205
Metabolite.1112	Cdiff_EIA	positive	-3.97879417735574	1.16477907260243	102	102	0.000920045436525298	0.0604962890979205
Metabolite.1149	Cdiff_EIA	positive	-5.42335467053822	1.65919374384788	102	102	0.00148197856739913	0.0604962890979205
Metabolite.1216	Cdiff_EIA	positive	-4.68583020148584	1.44917067229419	102	102	0.00165743257802522	0.0604962890979205
Metabolite.2103	Cdiff_EIA	positive	5.41581067135103	1.54377497275145	102	102	0.000677695101408554	0.0604962890979205
Metabolite.2126	Cdiff_EIA	positive	-5.11400937453759	1.5462158223395	102	102	0.00130897762480883	0.0604962890979205
Metabolite.2167	Cdiff_EIA	positive	-5.74253171450929	1.67340776384475	102	102	0.000873677430707631	0.0604962890979205
Metabolite.2380	Cdiff_EIA	positive	4.64405356342015	1.33148356729914	102	102	0.000725154705481927	0.0604962890979205
Metabolite.136	Cdiff_EIA	positive	5.0494447287002	1.63894843617243	102	102	0.00266570681577352	0.0833985418077715
Metabolite.926	Cdiff_EIA	positive	-2.8906261202764	0.937312112470329	102	102	0.00264092690012448	0.0833985418077715
Metabolite.509	Cdiff_EIA	positive	4.79689351867039	1.58083812342392	102	102	0.00307163780603944	0.0896918239363515
Metabolite.918	Cdiff_EIA	positive	-3.63419778556922	1.22002356011092	102	102	0.00363185520630693	0.0994220362726522
Metabolite.883	Cdiff_EIA	positive	-4.24137623459074	1.49427919158481	102	102	0.0054913510071536	0.138215106648133
Metabolite.2057	Cdiff_EIA	positive	-3.24793270780076	1.1490091012527	102	102	0.00568007287595067	0.138215106648133
Metabolite.1826	Cdiff_EIA	positive	3.62484314016107	1.29235039105303	102	102	0.00604950947812361	0.139457113232534
Metabolite.2141	Cdiff_EIA	positive	-3.13962538028878	1.12916981279481	102	102	0.00648682906892175	0.142061556609386
Metabolite.2011	Cdiff_EIA	positive	3.57176340039356	1.29451454898119	102	102	0.00689282215468799	0.143764576369207
Metabolite.49	Cdiff_EIA	positive	4.02130763714204	1.50524921841899	102	102	0.00881629495385062	0.148520661145637
Metabolite.881	Cdiff_EIA	positive	-2.64198746236063	0.983228620681014	102	102	0.00844338694421304	0.148520661145637
Metabolite.1304	Cdiff_EIA	positive	2.39635134498895	0.895298789883973	102	102	0.00869291678065747	0.148520661145637
Metabolite.2450	Cdiff_EIA	positive	3.59333355334075	1.33080002713288	102	102	0.00814054586045108	0.148520661145637
Metabolite.2462	Cdiff_EIA	positive	3.97000235020495	1.48547874954224	102	102	0.00879140499267907	0.148520661145637
Metabolite.2264	Cdiff_EIA	positive	-2.93786934235222	1.126990661632	102	102	0.0105357272240657	0.170912908301511
Metabolite.585	Cdiff_EIA	positive	3.8856946764854	1.51885242119465	102	102	0.0120179149170172	0.184776692833027
Metabolite.2366	Cdiff_EIA	positive	-2.77679217202756	1.08821695903218	102	102	0.0122340732697666	0.184776692833027
Metabolite.2076	Cdiff_EIA	positive	3.90907240128876	1.57251464738187	102	102	0.0145810646015993	0.212883543183349
Metabolite.229	Cdiff_EIA	positive	2.89206429157282	1.17580539978886	102	102	0.0156234957695812	0.216994531057514
Metabolite.2347	Cdiff_EIA	positive	2.57889234790506	1.05086338067023	102	102	0.0158534817210969	0.216994531057514
Metabolite.2115	Cdiff_EIA	positive	-2.75102595529182	1.15097687876141	102	102	0.0187135356846956	0.248379655451414
