Sample	Acidobacteria	Actinobacteria	Bacteroidetes	Candidatus Saccharibacteria	Chlorobi	Chloroflexi	Chordata	Cyanobacteria	Deinococcus-Thermus	Elusimicrobia	Euryarchaeota	Firmicutes	Fusobacteria	Lentisphaerae	Proteobacteria	Spirochaetes	Synergistetes	Tenericutes	Verrucomicrobia
Stool 2	0	0.02741	0.69334	0	0	3.00E-05	0.00152	0	0	0	0.00355	0.25071	3.00E-05	0	0.02334	3.00E-05	5.00E-05	0	0
Stool 12	0	0.00376	0.34969	0	0	0	0	0	0	0	0	0.0522	3.00E-05	0	0.5943	1.00E-05	1.00E-05	0	0
Stool 4	0	0.00507	0.87718	0	0	0	0	0	0	0	0	0.11741	9.00E-05	0	0.00024	0	1.00E-05	0	0
Stool 26	0	0.0202	0.80617	0	0	0	0.00127	0	0	0	2.00E-05	0.17188	0	0	0.00044	2.00E-05	0	0	0
Stool 42	0	0.00956	0.71599	0	0	0	0	0	0	0	0	0.17797	1.00E-05	0	0.08902	1.00E-05	1.00E-05	0	0.00743
Stool 92	0	0.00133	0.87243	0	0	0	0.00037	0	0	0	0	0.12511	0	0	0.00013	3.00E-05	0	0	0.00059
Stool 73	0	1.00E-04	0.84797	0	0	0	0.00595	0	0	0	0	0.14593	0	0	5.00E-05	0	0	0	0
Stool 9	0	0.00156	0.67104	0	0	0	0.00901	0	0	0	0	0.31787	0	0	0.00051	1.00E-05	0	0	0
Stool 18	0	0.00513	0.93084	0	0	0	0	0	0	0	0	0.06361	3.00E-05	0	0.00037	0	0	1.00E-05	0
Stool 45	0	0.02971	0.37247	6.00E-05	0	0	0	0	0	0	0	0.56587	1.00E-05	0	0.0317	0.00016	1.00E-05	1.00E-05	0
Stool 58	0	0.10868	0.42511	0	0	1.00E-05	0	0	0	0	0	0.12101	3.00E-05	0	0.34508	8.00E-05	0	0	0
Stool 25	0	0.00393	0.01248	0	0	0	0.00405	0	0	0	9.00E-05	0.74448	3.00E-05	0	0.21652	1.00E-05	4.00E-05	3.00E-05	0.01835
Stool 76	0	0.00917	0.03878	0.00018	0	0	0.05942	0	0	0	0.03456	0.29776	1.00E-05	0	0.55389	0	0	0	0.00623
Stool 74	0	0.01488	0.61131	0	0	0	0.00091	0	0	0	0	0.14151	0.05593	0	0.17545	1.00E-05	0	0	0
Stool 24	0	0.02341	0.86342	0	0	0	0.00013	0	0	0	0.00016	0.09971	0.00346	0	0.0097	1.00E-05	0	0	0
Stool 75	0	0.00055	0.83065	0	0	0	0.01184	0	0	0	0	0.14204	2.00E-05	0	0.0149	0	0	0	0
Stool 23	0	0.00513	0.36911	0	0	0	1.00E-05	0	0	0	0	0.62523	1.00E-05	0	0.00051	0	0	0	0
Stool 60	0	0.00502	0.38197	0	0	0	2.00E-04	0	0	0	0	0.61149	1.00E-05	0	0.00102	0.00027	1.00E-05	0	0
Stool 40	0	0.23361	0.06254	0	0	1.00E-05	1.00E-04	0	3.00E-05	0	0	0.4535	0.01502	0	0.2352	1.00E-05	0	1.00E-05	0
Stool 93	0	0.00038	1.00E-05	0	0	0	0	0	0	0	0	0.52096	0	0	0.47865	0	0	0	0
Stool 53	0	0.00166	0.00069	0	0	0	0.00298	0	0	0	0	0.99296	0	0	0.00171	0	0	0	1.00E-05
Stool 94	0	0.00092	4.00E-04	0	0	0	0	0	0	0	0.00245	0.98883	1.00E-05	0	0.00738	0	0	0	0
Stool 81	0	0.03144	1.00E-05	0	0	0	7.00E-05	0	0	0	0.00432	0.59082	0.0077	0	0.36563	1.00E-05	0	1.00E-05	0
Stool 59	0	0.02397	0.44162	0	0	0	0.00012	0	0	0	0	0.44911	0.04695	0	0.0379	3.00E-05	0	0	3.00E-04
Stool 35	0	0.02118	0.51073	0	0	8.00E-05	8.00E-05	0	0	0	0.03833	0.27608	3.00E-05	2.00E-04	0.13043	6.00E-05	0.00521	0	0.0176
Stool 48	0	0.01266	0.00034	0	0	1.00E-05	0	0	0	0	0	0.80867	0	0	0.17831	1.00E-05	0	0	0
Stool 27	0	0.07803	0.5578	0	0	1.00E-05	1.00E-05	0	0	0	0	0.36327	0	0	0.00084	1.00E-05	0	0	2.00E-05
Stool 78	0	0.02546	0.67655	0	0	0	1.00E-05	0	0	0	0	0.2194	0.02652	0	0.05207	0	0	0	0
Stool 8	0	0.00453	0.00013	0	0	0	0.00022	0	0	0	0	0.99415	0	0	0.00097	0	0	0	0
Stool 5	0	0.00245	0.73846	0	0	0	0.00411	0	0	0	0	0.25485	0	0	8.00E-05	5.00E-05	0	0	0
Stool 68	0	0.00075	0.51669	0	0	0	0.00057	0	0	0	0	0.45162	0.01535	0	0.01501	0	0	1.00E-05	0
Stool 47	0	0.01679	0.5862	0	0	0	0	0	0	0	0	0.13482	0	0	0.02225	0.00012	1.00E-05	0	0.23981
Stool 71	0	0.05835	0.01485	0	0	2.00E-05	0.00233	0	0	0	0	0.71713	0.04535	0	0.16189	3.00E-05	0	4.00E-05	0
Stool 50	0	0.03667	0.27802	0.00061	0	0	0	1.00E-05	0	1.00E-04	3.00E-05	0.62321	0.00017	0	0.06074	0.00027	0	3.00E-05	0.00015
Stool 39	0	0.00193	0.30652	0	0	0	1.00E-05	0	0	0	0	0.29533	6.00E-05	0	0.39587	0	1.00E-05	0	0.00027
Stool 32	0	0.00087	0.44771	0	0	0	2.00E-05	0	0	0	0.00175	0.07616	0.00013	3.00E-05	0.46947	1.00E-05	0.00022	0	0.00363
Stool 91	0	0.1032	0.00031	0	0	0	0.00062	0	0	0	0	0.88842	5.00E-05	0	0.00739	0	0	0	0
Stool 6	0	0.02267	0.30587	0	0	0	0	0	0	0	0	0.64082	1.00E-05	0	0.0306	3.00E-05	0	0	0
Stool 86	0	0.0232	0.67314	0	0	0	0.00254	0	0	0	0	0.27288	0.00435	0	0.02354	2.00E-05	0	0	0.00033
Stool 65	0	0.00122	0.68795	0	0	0	5.00E-05	0	0	0	5.00E-05	0.31067	0	0	5.00E-05	0	0	0	0
Stool 33	0	0.00977	0.62197	0	0	0	0.0032	0	0	0	0	0.28778	0.0769	0	0.00037	0	1.00E-05	1.00E-05	0
Stool 64	0	0.00409	0.6304	0	0	0	0	0	0	0	3.00E-05	0.14554	3.00E-05	0	0.09236	2.00E-05	1.00E-05	0	0.12751
Stool 102	0	0.0462	0.09156	7.00E-05	0	2.00E-05	2.00E-05	0	0	0	0	0.61035	2.00E-05	0	0.25167	2.00E-05	0	3.00E-05	3.00E-05
Stool 34	0	0.02316	0.38647	0	0	0	0.00071	0	0	0	8.00E-05	0.58793	0.00037	0	0.00125	0	0	0	3.00E-05
Stool 90	0	0.00463	0.37055	0	0	0	0	0	0	0	0	0.61419	0.00613	0	0.00448	0	0	0	0
Stool 16	0	0.01951	0.59318	0	0	0	0.03801	0	0	0	0.00036	0.33927	2.00E-05	0	0.00961	3.00E-05	1.00E-05	0	0
Stool 17	0	0.01867	0.61292	0	0	0	0.00017	0	0	0	0	0.25143	0.00026	0	0.11651	3.00E-05	1.00E-05	0	0
Stool 82	0	0.01105	0.7331	0	0	0	0.01812	0	0	0	0.00013	0.11948	0.00081	0	0.11522	1.00E-05	3.00E-05	0	0.00204
Stool 56	0	0.00225	0.50616	0	0	0	0	0	0	0	0	0.48475	0	0	0.00683	0	0	0	0
Stool 80	0	0.02511	0.68225	0	0	0	0	0	0	0	0	0.23311	0.00011	0	0.0589	6.00E-05	0	0	0.00044
Stool 3	0	0.01559	0.69876	0	0	0	0	0	0	0	0	0.25666	0	0	0.01642	0	0	0	0.01256
Stool 22	0	0.01673	5.00E-05	2.00E-05	0	2.00E-05	0	0	0	0	0	0.97645	2.00E-05	0	0.00638	4.00E-05	0	1.00E-05	0.00026
Stool 37	0	0.11083	0.12947	0	0	0	0	0	0	0	0	0.75624	4.00E-04	0	0.00294	8.00E-05	3.00E-05	0	0
Stool 79	0	0.00111	0.77802	0	0	0	0.00577	0	0	0	0.00666	0.12453	0	0	0.00744	0	1.00E-05	0	0.07645
Stool 61	0	0.01364	0.66821	0	0	0	0	0	0	0	0	0.27458	0	0	0.04343	0.00014	0	1.00E-05	0
Stool 77	0	0.01073	0.69702	0	0	1.00E-05	0	0	0	0	0.00426	0.22513	0.01253	0	0.04775	1.00E-05	0.00083	0	0.00173
Stool 63	0	0.02803	0.70336	0.00049	0	0	0	0	0	0	0	0.17276	0.09446	0	0.00085	4.00E-05	0	1.00E-05	0
Stool 21	0	0.00905	0.51654	0	0	0	1.00E-05	0	0	0	0	0.44898	0	0	0.02538	4.00E-05	0	0	0
Stool 96	0	0.01613	0.68641	0	0	7.00E-05	1.00E-05	0	0	0	0	0.25248	0	0	0.04485	2.00E-05	2.00E-05	0	0
Stool 46	0	0.00198	0.70246	0	0	0	0.00511	0	0	0	1.00E-05	0.21507	0.02024	0	0.05505	7.00E-05	0	0	0
Stool 41	0	0.13224	0.27651	0	1.00E-05	0	0	0	0	0	0.00253	0.58691	1.00E-05	0	0.00147	3.00E-05	0	1.00E-05	0.00028
Stool 55	0	0.00252	0.00093	0	0	0.00013	0	1.00E-05	0	0	0	0.7521	2.00E-05	0	0.2231	4.00E-05	0.00052	0	0.02064
Stool 67	0	0.01191	0.1403	0	0	0	0	0	0	0	0	0.83253	0	0	0.01524	1.00E-05	0	0	0
Stool 84	0	0.01065	0.55326	2.00E-05	0	0	1.00E-05	0	0	0	0	0.1274	0.02347	0	0.28518	1.00E-05	0	0	0
Stool 89	0	0.00056	1.00E-05	0	0	0	0.00171	0	0	0	0	0.82387	5.00E-05	0	0.17378	1.00E-05	0	1.00E-05	0
Stool 98	0	9.00E-05	0.74995	0	0	0	0	0	0	0	0	0.24982	0	0	0.00013	0	0	0	0
Stool 57	0	0.03278	0.65525	0	0	0	0.00276	0	0	0	0	0.23516	0	0	0.00826	1.00E-05	1.00E-05	0	0.06577
Stool 13	0	0.00608	0.44816	0	0	0	0	0	0	0	0	0.54498	0	0	0.00073	5.00E-05	0	0	0
Stool 88	0	0.00749	0.26866	0	0	0	0.00013	0	0	0	0.00123	0.17932	2.00E-04	0	0.51702	1.00E-05	3.00E-05	0	0.02589
Stool 54	0	0.00364	0.52439	0	0	0	0	0	0	0	0	0.46052	0.01123	0	0.00019	0	2.00E-05	0	0
Stool 72	0	0.0077	0.85097	0	0	0	0	0	0	0	0	0.14113	0	0	0.00019	0	0	0	0
Stool 28	0	0.0133	0.47636	0	0	0	3.00E-05	0	0	0	0	0.14295	7.00E-04	0	0.36666	1.00E-05	0	0	0
Stool 95	0	0.11405	0.00066	0	0	0	1.00E-05	0	0	0	7.00E-05	0.23956	3.00E-05	0	0.6456	0	0	1.00E-05	0
Stool 69	0	0.00445	0.75464	0	0	0	0	0	0	0	1.00E-05	0.2327	1.00E-05	0	0.00403	4.00E-05	0	0	0.00412
Stool 36	0	0.00371	0.81235	0	0	0	0	0	0	0	0.00034	0.1765	3.00E-05	0	0.0025	1.00E-05	0	1.00E-05	0.00455
Stool 51	0	0.00314	0.73154	0	0	0	2.00E-05	0	0	0	0	0.25745	6.00E-05	0	0.00776	3.00E-05	0	1.00E-05	0
Stool 29	0	0.01198	0.68352	0.00023	0	0	0	0	0	0	0	0.13028	2.00E-05	0	0.17396	0	0	0	0
Stool 100	0	0.13574	0.46843	0.00026	0	0	3.00E-05	1.00E-05	0	0	0	0.36501	0	0	0.00128	5.00E-05	8.00E-05	0	0.02908
Stool 7	0	0.045	0.70879	0	0	0	0	0	0	0	0	0.21506	0.00248	0	0.02864	2.00E-05	0	0	0
Stool 83	0	0.06253	0.80542	3.00E-05	0	0	0	0	0	0	0	0.0974	0.00013	0	0.03448	0	0	0	0
Stool 70	0	0.00861	0.78014	0.00127	0	0	0	0	0	0	0	0.20925	1.00E-05	0	0.00067	3.00E-05	1.00E-05	0	0
Stool 30	0	0.01651	6.00E-05	0	0	0	1.00E-05	0	0	0	0	0.64869	0.00017	0	0.24804	4.00E-05	0	3.00E-05	0.08647
Stool 38	0	0.02761	0.01577	0.00111	0	0	0	0	0	0	0	0.955	0	0	5.00E-04	1.00E-05	0	0	0
Stool 66	0	0.02659	0.46186	0.00042	0	0	0	0	0	0	0.00169	0.4056	1.00E-05	0	0.00539	1.00E-05	1.00E-05	0	0.09842
