feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Lachnospiraceae_bacterium_5_1_63FAA	Cdiff_EIA	positive	-1.5881502926443	0.348238915408626	70	9	2.18995937475968e-05	0.00330683865588712
Anaerostipes_hadrus	Cdiff_EIA	positive	-1.59098208992016	0.388390907999015	70	8	0.000113983223819985	0.00783369732653113
Ruminococcus_sp_5_1_39BFAA	Cdiff_EIA	positive	-0.816516867657166	0.203834968894798	70	8	0.000155636370725784	0.00783369732653113
Bilophila_unclassified	Cdiff_EIA	positive	-1.59229300181548	0.458938721556045	70	19	0.00100413523617207	0.0379061051654957
Eubacterium_sp_3_1_31	Cdiff_EIA	positive	-2.79049967345305	0.866972246030855	70	17	0.00197473800340767	0.0596370877029118
Dorea_formicigenerans	Cdiff_EIA	positive	-1.27529430726409	0.404662587036096	70	8	0.00241593584241001	0.0608010520339853
Eubacterium_hallii	Cdiff_EIA	positive	-1.45296057061937	0.495133985967341	70	10	0.00455240494908504	0.098201878187406
Coprococcus_comes	Cdiff_EIA	positive	-1.2735453508365	0.448177308500861	70	8	0.00591892891282665	0.111719783229603
Ruminococcus_gnavus	Cdiff_EIA	positive	-3.20500117624792	1.21342340520126	70	44	0.0102379558752967	0.171770148574422
Fusobacterium_nucleatum	Cdiff_EIA	positive	1.95321583480711	0.777334444697913	70	14	0.0143573316729212	0.20484867281322
Lachnospiraceae_bacterium_6_1_63FAA	Cdiff_EIA	positive	-1.54335096430285	0.61789511813038	70	12	0.0149227509996386	0.20484867281322
Blautia_hydrogenotrophica	Cdiff_EIA	positive	-0.550454647344886	0.238098633639939	70	9	0.0238721799273205	0.242271181965534
Clostridium_asparagiforme	Cdiff_EIA	positive	-1.78440814316831	0.773247687512424	70	26	0.0240666737051855	0.242271181965534
Escherichia_coli	Cdiff_EIA	positive	-2.55123443956407	1.07356426494942	70	33	0.0203036871945003	0.242271181965534
Streptococcus_parasanguinis	Cdiff_EIA	positive	-2.38199143687577	1.01547855992217	70	50	0.0219160110542587	0.242271181965534
