feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Lachnospiraceae_bacterium_5_1_63FAA	Cdiff_EIA	positive	-1.4243949848631	0.329816987736006	102	18	3.70270337569946e-05	0.00492459548968028
Anaerostipes_hadrus	Cdiff_EIA	positive	-1.45505617784369	0.368060685391256	102	17	0.00014394615156216	0.00957241907888362
Dorea_formicigenerans	Cdiff_EIA	positive	-1.45966271163984	0.39570053145787	102	17	0.000366673449144805	0.0162558562454197
Ruminococcus_sp_5_1_39BFAA	Cdiff_EIA	positive	-0.720838572235349	0.204817512575105	102	15	0.000652631962027263	0.0217000127374065
Clostridium_clostridioforme	Cdiff_EIA	positive	3.57722915592232	1.05464080902782	102	60	0.000995768955870181	0.0264874542261468
Eubacterium_hallii	Cdiff_EIA	positive	-1.57651362144751	0.473503096790887	102	20	0.00121927785450906	0.0270273257749508
Coprococcus_comes	Cdiff_EIA	positive	-1.1971334984205	0.386698838432796	102	15	0.00256463176693186	0.0407546350691616
Dorea_longicatena	Cdiff_EIA	positive	-1.28374120389388	0.419880568271565	102	15	0.00286424411633786	0.0407546350691616
Eubacterium_rectale	Cdiff_EIA	positive	-1.51757993443994	0.500222201326779	102	12	0.00337068410346449	0.0407546350691616
Roseburia_inulinivorans	Cdiff_EIA	positive	-1.88713929777244	0.61268065274078	102	19	0.00267200122465935	0.0407546350691616
Streptococcus_parasanguinis	Cdiff_EIA	positive	-2.41232796414236	0.8027990871775	102	75	0.00335805835854656	0.0407546350691616
Fusobacterium_nucleatum	Cdiff_EIA	positive	1.84199239037942	0.692468107070927	102	19	0.00910157103875791	0.100875745679567
Escherichia_coli	Cdiff_EIA	positive	-2.23776442297599	0.882676014012486	102	52	0.0127876459257566	0.106297306757852
Eubacterium_sp_3_1_31	Cdiff_EIA	positive	-2.16549470416624	0.829187187043016	102	25	0.0103995723967424	0.106297306757852
Ruminococcus_obeum	Cdiff_EIA	positive	-2.21732859904531	0.862991384758026	102	37	0.0116649769288134	0.106297306757852
Veillonella_parvula	Cdiff_EIA	positive	2.56749079434675	1.00647057176135	102	51	0.0124984815186785	0.106297306757852
Rothia_mucilaginosa	Cdiff_EIA	positive	-1.80856364469684	0.737392476745745	102	55	0.0159126544336412	0.12449311998084
Ruminococcus_gnavus	Cdiff_EIA	positive	-2.40262820278155	1.07875923988873	102	65	0.0281750058856611	0.20818198793294
Bilophila_unclassified	Cdiff_EIA	positive	-0.807512365693569	0.388632353633416	102	26	0.0402865604696569	0.232961414889755
Clostridium_asparagiforme	Cdiff_EIA	positive	-1.30300968059706	0.615688742151902	102	40	0.0367979787600351	0.232961414889755
Roseburia_hominis	Cdiff_EIA	positive	-0.708233465978716	0.339556061330886	102	11	0.0395456634057312	0.232961414889755
Streptococcus_salivarius	Cdiff_EIA	positive	-1.775848188331	0.833508603070689	102	64	0.0358031798180619	0.232961414889755
Streptococcus_vestibularis	Cdiff_EIA	positive	-1.3708175043287	0.635131542439711	102	33	0.0344410358991159	0.232961414889755
Akkermansia_muciniphila	Cdiff_EIA	positive	-1.24728202773565	0.634568673964973	102	33	0.0521230908483289	0.266629657031836
Lachnospiraceae_bacterium_6_1_63FAA	Cdiff_EIA	positive	-1.11837677103612	0.560132162890305	102	16	0.0485834583223482	0.266629657031836
Streptococcus_australis	Cdiff_EIA	positive	-1.05998903474999	0.53758302547129	102	16	0.0516084462724582	0.266629657031836
Blautia_producta	Cdiff_EIA	positive	1.75921629381535	0.904008099469457	102	60	0.0544594395276463	0.268263165080628
Enterococcus_faecalis	Cdiff_EIA	positive	2.06982686441627	1.08551584607784	102	45	0.0594210051379427	0.282249774405228
Clostridiaceae_bacterium_JC118	Cdiff_EIA	positive	-0.957421033402573	0.511252757824775	102	17	0.0640316012799588	0.291549782944577
Enterococcus_avium	Cdiff_EIA	positive	1.04845530875111	0.561844862135884	102	15	0.065763108934867	0.291549782944577
Blautia_hydrogenotrophica	Cdiff_EIA	positive	-0.615052569363087	0.335743763624392	102	16	0.0699412705262943	0.300070612257972
Bacteroides_xylanisolvens	Cdiff_EIA	positive	1.38940315193254	0.78097285387892	102	39	0.0782671373707341	0.325297789697114
Ruminococcus_torques	Cdiff_EIA	positive	-1.27670587998171	0.727112214400928	102	87	0.0821744713020345	0.331188020702139
Clostridium_hathewayi	Cdiff_EIA	positive	1.71565073069341	1.00584635734184	102	66	0.091393492956409	0.357509840094188
Lachnospiraceae_bacterium_1_1_57FAA	Cdiff_EIA	positive	-0.862992271067997	0.527081426629937	102	25	0.104710263697025	0.386846251991786
Lachnospiraceae_bacterium_3_1_46FAA	Cdiff_EIA	positive	-0.865174227589088	0.528112454753015	102	31	0.104514740821614	0.386846251991786
Anaerostipes_unclassified	Cdiff_EIA	positive	0.948437335832669	0.585155506662719	102	35	0.108203348207001	0.388947170581922
Methanobrevibacter_smithii	Cdiff_EIA	positive	-0.774052761391743	0.482027798450786	102	16	0.111474238884326	0.390159836095141
Clostridium_innocuum	Cdiff_EIA	positive	1.11418840411587	0.723152036726239	102	52	0.126538907687511	0.431530121088179
Roseburia_intestinalis	Cdiff_EIA	positive	-0.954546423876615	0.641295495029058	102	15	0.139774949205877	0.453416298643454
Subdoligranulum_unclassified	Cdiff_EIA	positive	1.14005340750796	0.762959296563777	102	86	0.138258632036663	0.453416298643454
Staphylococcus_epidermidis	Cdiff_EIA	positive	0.825842568999034	0.565170384474595	102	19	0.147088141670001	0.465779115288335
Dialister_invisus	Cdiff_EIA	positive	-0.638133326348022	0.441654922195827	102	12	0.151621074027515	0.468967508038593
Bacteroides_fragilis	Cdiff_EIA	positive	1.60543645439647	1.14058896285937	102	33	0.163333140307677	0.474046962952159
Enterococcus_faecium	Cdiff_EIA	positive	1.65397954443985	1.17298254410854	102	49	0.161623815025436	0.474046962952159
Holdemania_filiformis	Cdiff_EIA	positive	-0.534608216343421	0.381267466285321	102	24	0.163956092449619	0.474046962952159
Bacteroides_vulgatus	Cdiff_EIA	positive	-1.35350419305557	0.990840290345306	102	62	0.174998032505607	0.495207198366929
Clostridiales_bacterium_1_7_47FAA	Cdiff_EIA	positive	1.1117318449846	0.827698026517197	102	63	0.182260218754428	0.505012689465395
Haemophilus_parainfluenzae	Cdiff_EIA	positive	-0.70648811211695	0.536960455282315	102	19	0.192555017792058	0.522649334007016
Streptococcus_thermophilus	Cdiff_EIA	positive	0.916197858710602	0.732036109258335	102	45	0.213644699337972	0.568294900239004
Clostridium_nexile	Cdiff_EIA	positive	-0.910791222447931	0.768955715152917	102	25	0.239922398442174	0.603305469214154
Faecalibacterium_prausnitzii	Cdiff_EIA	positive	-0.993535377311947	0.84094070733522	102	31	0.240414961416167	0.603305469214154
Klebsiella_unclassified	Cdiff_EIA	positive	0.502102295231448	0.420295713047076	102	14	0.235471897945687	0.603305469214154
Bifidobacterium_longum	Cdiff_EIA	positive	-1.17559969827788	1.03285155880615	102	35	0.257753307311553	0.634836849489567
Debaryomycetaceae_genus_unclassified	Cdiff_EIA	positive	-0.268435824086416	0.240694969414536	102	14	0.26741493634531	0.635110473820111
Rothia_dentocariosa	Cdiff_EIA	positive	0.427718918336165	0.380589591634604	102	22	0.263774747338782	0.635110473820111
Bacteroides_finegoldii	Cdiff_EIA	positive	0.716429180125549	0.653347475317399	102	16	0.275471147536676	0.64276601091891
Actinomyces_odontolyticus	Cdiff_EIA	positive	-0.509627415210859	0.4705225365082	102	20	0.281364527807959	0.645197968938941
Collinsella_aerofaciens	Cdiff_EIA	positive	-0.701686583927573	0.662347761219523	102	21	0.292853094214605	0.660160364924448
Alistipes_onderdonkii	Cdiff_EIA	positive	-0.665407870525963	0.652852132128559	102	39	0.310552309244154	0.688390952157874
Streptococcus_mitis_oralis_pneumoniae	Cdiff_EIA	positive	-0.532593971538425	0.543859496748806	102	35	0.329801935151754	0.719076350412841
