feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Lachnospiraceae_bacterium_5_1_63FAA	Cdiff_EIA	positive	-1.4243949848631	0.329816987736006	102	18	3.70270337569946e-05	0.00492459548968028
Anaerostipes_hadrus	Cdiff_EIA	positive	-1.45505617784369	0.368060685391256	102	17	0.00014394615156216	0.00957241907888362
Dorea_formicigenerans	Cdiff_EIA	positive	-1.45966271163984	0.39570053145787	102	17	0.000366673449144805	0.0162558562454197
Ruminococcus_sp_5_1_39BFAA	Cdiff_EIA	positive	-0.720838572235349	0.204817512575105	102	15	0.000652631962027263	0.0217000127374065
Clostridium_clostridioforme	Cdiff_EIA	positive	3.57722915592232	1.05464080902782	102	60	0.000995768955870181	0.0264874542261468
Eubacterium_hallii	Cdiff_EIA	positive	-1.57651362144751	0.473503096790887	102	20	0.00121927785450906	0.0270273257749508
Coprococcus_comes	Cdiff_EIA	positive	-1.1971334984205	0.386698838432796	102	15	0.00256463176693186	0.0407546350691616
Dorea_longicatena	Cdiff_EIA	positive	-1.28374120389388	0.419880568271565	102	15	0.00286424411633786	0.0407546350691616
Eubacterium_rectale	Cdiff_EIA	positive	-1.51757993443994	0.500222201326779	102	12	0.00337068410346449	0.0407546350691616
Roseburia_inulinivorans	Cdiff_EIA	positive	-1.88713929777244	0.61268065274078	102	19	0.00267200122465935	0.0407546350691616
Streptococcus_parasanguinis	Cdiff_EIA	positive	-2.41232796414236	0.8027990871775	102	75	0.00335805835854656	0.0407546350691616
Fusobacterium_nucleatum	Cdiff_EIA	positive	1.84199239037942	0.692468107070927	102	19	0.00910157103875791	0.100875745679567
Escherichia_coli	Cdiff_EIA	positive	-2.23776442297599	0.882676014012486	102	52	0.0127876459257566	0.106297306757852
Eubacterium_sp_3_1_31	Cdiff_EIA	positive	-2.16549470416624	0.829187187043016	102	25	0.0103995723967424	0.106297306757852
Ruminococcus_obeum	Cdiff_EIA	positive	-2.21732859904531	0.862991384758026	102	37	0.0116649769288134	0.106297306757852
Veillonella_parvula	Cdiff_EIA	positive	2.56749079434675	1.00647057176135	102	51	0.0124984815186785	0.106297306757852
Rothia_mucilaginosa	Cdiff_EIA	positive	-1.80856364469684	0.737392476745745	102	55	0.0159126544336412	0.12449311998084
Ruminococcus_gnavus	Cdiff_EIA	positive	-2.40262820278155	1.07875923988873	102	65	0.0281750058856611	0.20818198793294
Bilophila_unclassified	Cdiff_EIA	positive	-0.807512365693569	0.388632353633416	102	26	0.0402865604696569	0.232961414889755
Clostridium_asparagiforme	Cdiff_EIA	positive	-1.30300968059706	0.615688742151902	102	40	0.0367979787600351	0.232961414889755
Roseburia_hominis	Cdiff_EIA	positive	-0.708233465978716	0.339556061330886	102	11	0.0395456634057312	0.232961414889755
Streptococcus_salivarius	Cdiff_EIA	positive	-1.775848188331	0.833508603070689	102	64	0.0358031798180619	0.232961414889755
Streptococcus_vestibularis	Cdiff_EIA	positive	-1.3708175043287	0.635131542439711	102	33	0.0344410358991159	0.232961414889755
