feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Ruminococcus_gnavus	abx_binary	yes	-4.96563128064073	1.01099305860872	102	65	3.52834708794258e-06	0.000613932393302009
Clostridium_difficile	abx_binary	yes	3.0609760733067	0.761283712840521	102	70	0.000112645815623497	0.00707029956350261
Enterococcus_faecium	abx_binary	yes	4.49305107788682	1.12350249673715	102	49	0.000121901716612114	0.00707029956350261
Ruminococcus_sp_5_1_39BFAA	abx_binary	yes	-0.665505901360667	0.207142850497335	102	15	0.00176926896260386	0.076963199873268
Dorea_longicatena	abx_binary	yes	-1.28315049871344	0.424857904207456	102	15	0.00320666072511837	0.111591793234119
Dialister_invisus	abx_binary	yes	-1.25182547708234	0.437791945104294	102	12	0.00516657929437987	0.121044406978843
Lachnospiraceae_bacterium_5_1_63FAA	abx_binary	yes	-0.994749807347069	0.348023252956062	102	18	0.00518347482239582	0.121044406978843
Ruminococcus_torques	abx_binary	yes	-2.05790911816391	0.726203739807161	102	87	0.00556526009098131	0.121044406978843
Eubacterium_hallii	abx_binary	yes	-1.33143749559354	0.489834416433518	102	20	0.00773967638173223	0.149633743380157
Coprococcus_comes	abx_binary	yes	-1.03982127541943	0.389651718699266	102	15	0.00888833370915508	0.154657006539298
Eubacterium_dolichum	abx_binary	yes	-0.59212802586691	0.241685151079455	102	10	0.0160233810080404	0.199147735385645
Eubacterium_rectale	abx_binary	yes	-1.2970448375911	0.511298976921358	102	12	0.0127343389032205	0.199147735385645
Lactobacillus_rhamnosus	abx_binary	yes	1.86028197524339	0.75501177700905	102	33	0.0154495430424207	0.199147735385645
Roseburia_hominis	abx_binary	yes	-0.849754892001819	0.344264483493748	102	11	0.0152715832555692	0.199147735385645
Anaerostipes_hadrus	abx_binary	yes	-0.928440916384551	0.391242469646811	102	17	0.0195531853289465	0.216161692814987
Dorea_formicigenerans	abx_binary	yes	-0.984849993576847	0.416139445990613	102	17	0.0198769372703437	0.216161692814987
Lachnospiraceae_bacterium_9_1_43BFAA	abx_binary	yes	-1.12808187268165	0.495914535636069	102	14	0.0250561153243721	0.256456709790632
Eubacterium_sp_3_1_31	abx_binary	yes	-1.91371208033918	0.856143660069786	102	25	0.0276237083648901	0.25946259838928
Roseburia_inulinivorans	abx_binary	yes	-1.41627613628482	0.636544618256861	102	19	0.0283321228126225	0.25946259838928
Lactobacillus_phage_Lc_Nu	abx_binary	yes	0.916669186066735	0.428509665755626	102	13	0.0348535073110371	0.296735158165763
Lactococcus_lactis	abx_binary	yes	-1.34272797571158	0.631043149120365	102	20	0.0358128639165576	0.296735158165763
Enterococcus_faecalis	abx_binary	yes	2.30594615616922	1.10387934208672	102	45	0.0392515148726063	0.296946242949283
Holdemania_filiformis	abx_binary	yes	-0.80229581232172	0.383930543467082	102	24	0.0391832210213373	0.296946242949283
Escherichia_coli	abx_binary	yes	-1.88480275505662	0.911062241917095	102	52	0.041144931798311	0.298300755537755
Staphylococcus_epidermidis	abx_binary	yes	1.12688534820418	0.571400813310172	102	19	0.0513550133374698	0.345130110714531
Sutterella_wadsworthensis	abx_binary	yes	-0.614241652571945	0.311752976073997	102	11	0.051571165968838	0.345130110714531
Bacteroides_dorei	abx_binary	yes	-1.98945896824426	1.07323252396987	102	39	0.0667288121061002	0.359774132511204
Bifidobacterium_breve	abx_binary	yes	0.81581792504611	0.425743325258126	102	11	0.0581926266443111	0.359774132511204
Clostridium_asparagiforme	abx_binary	yes	-1.15413139296985	0.634887988006863	102	40	0.0720811021051682	0.359774132511204
Clostridium_methylpentosum	abx_binary	yes	0.477867746509028	0.265073810190021	102	12	0.0744360274161111	0.359774132511204
Collinsella_aerofaciens	abx_binary	yes	-1.22585459512217	0.664650470238524	102	21	0.0680910521837287	0.359774132511204
Haemophilus_parainfluenzae	abx_binary	yes	-1.02042796607344	0.539809238185384	102	19	0.0616066619173631	0.359774132511204
Lachnospiraceae_bacterium_6_1_63FAA	abx_binary	yes	-1.04898178117796	0.569837478790315	102	16	0.0686094200104195	0.359774132511204
Lactobacillus_casei_paracasei	abx_binary	yes	0.657363295393575	0.34318479756054	102	11	0.0582881523802268	0.359774132511204
Ruminococcus_obeum	abx_binary	yes	-1.61908907641436	0.891872250843256	102	37	0.0724622890253122	0.359774132511204
Streptococcus_parasanguinis	abx_binary	yes	-1.53824290919032	0.840887580651561	102	75	0.070333230926779	0.359774132511204
Bacteroides_vulgatus	abx_binary	yes	-1.77744007490415	1.00590178312733	102	62	0.0802771491215272	0.364232853037635
Clostridium_nexile	abx_binary	yes	-1.34132668912158	0.772046388971326	102	25	0.0854015124287768	0.364232853037635
Eubacterium_ramulus	abx_binary	yes	-0.606594055647839	0.345663102334589	102	10	0.0823442021781347	0.364232853037635
Roseburia_intestinalis	abx_binary	yes	-1.14248374782049	0.645884658141735	102	15	0.0799651304298712	0.364232853037635
Streptococcus_mitis_oralis_pneumoniae	abx_binary	yes	-0.960400683602396	0.553550970398161	102	35	0.0858249826123164	0.364232853037635
Peptostreptococcus_stomatis	abx_binary	yes	-0.809515280739981	0.471685825840268	102	11	0.089218667380912	0.369620193435207
Faecalibacterium_prausnitzii	abx_binary	yes	-1.42671323788839	0.842331853181889	102	31	0.0934224209541683	0.378034912698262
