feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
K02438..glycogen.operon.protein..EC.3.2.1...	Cdiff_EIA	positive	-2.47610873999544	0.635212160656133	102	65	0.000175576090287043	0.00807650015320398
K01190..beta.galactosidase..EC.3.2.1.23.	Cdiff_EIA	positive	-1.49319311933648	0.535267104381237	102	98	0.00631937427666656	0.139032061422512
K01218..mannan.endo.1.4.beta.mannosidase..EC.3.2.1.78.	Cdiff_EIA	positive	1.84079307430328	0.705898533018177	102	61	0.01050975730208	0.139032061422512
K01222..6.phospho.beta.glucosidase..EC.3.2.1.86.	Cdiff_EIA	positive	-2.02034777869278	0.790403088523928	102	66	0.0120897444715228	0.139032061422512
K01182..oligo.1.6.glucosidase..EC.3.2.1.10.	Cdiff_EIA	positive	-1.80949354035265	0.749214777460858	102	91	0.0175432209778088	0.161397632995841
K01193..beta.fructofuranosidase..EC.3.2.1.26.	Cdiff_EIA	positive	-1.36340104836488	0.609857423227835	102	97	0.0276008920562835	0.185596357458628
K07406..alpha.galactosidase..EC.3.2.1.22.	Cdiff_EIA	positive	-1.50524823490789	0.676141780658607	102	53	0.0282429239610956	0.185596357458628
K18775..levanbiose.producing.levanase..EC.3.2.1.64.	Cdiff_EIA	positive	-1.27086230103799	0.598672176472723	102	45	0.0362394308140725	0.208376727180917
K01194..alpha.alpha.trehalase..EC.3.2.1.28.	Cdiff_EIA	positive	-1.57828843245448	0.820174841644655	102	78	0.0571556064740515	0.292128655311819
K15923..alpha.L.fucosidase.2..EC.3.2.1.51.	Cdiff_EIA	positive	-1.33647197152968	0.731244284812318	102	77	0.0705812720162561	0.324673851274778
K01187..alpha.glucosidase..EC.3.2.1.20.	Cdiff_EIA	positive	0.410600741685954	0.24604332039191	102	102	0.098282165207499	0.400968263518097
K01232..maltose.6..phosphate.glucosidase..EC.3.2.1.122.	Cdiff_EIA	positive	0.834334177846752	0.52228601282269	102	99	0.113317117950766	0.400968263518097
K07405..alpha.amylase..EC.3.2.1.1.	Cdiff_EIA	positive	-1.2826705331955	0.784681084086775	102	83	0.105268935668915	0.400968263518097
K01206..alpha.L.fucosidase..EC.3.2.1.51.	Cdiff_EIA	positive	-0.686921441263097	0.460355535140609	102	99	0.138806876421362	0.456079736813046
K13381..bifunctional.chitinase.lysozyme..EC.3.2.1.14.3.2.1.17.	Cdiff_EIA	positive	-0.830854322988637	0.571083027790228	102	37	0.148835786535378	0.456429745375159
